Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset ini	mu_ini	Force	G
1	11.775	8.155	13.292	15.063	796.363	216000.000	184.437	0.233	1207.130	7.300
1	11.776	8.160	12.509	15.401	796.363	216000.000	184.394	0.237	1215.510	7.400
1	11.775	8.161	11.920	16.019	796.363	216000.000	189.343	0.219	1216.560	7.200
1	11.782	8.150	12.157	16.103	796.363	216000.000	184.073	0.231	1206.130	7.400
1	11.759	8.130	13.066	16.535	796.363	216000.000	182.006	0.233	1189.920	7.400
1	11.742	8.121	14.263	16.320	796.363	216000.000	180.393	0.239	1183.490	7.400
1	11.720	8.127	14.934	16.001	796.363	216000.000	181.869	0.238	1185.100	7.300
1	11.685	8.137	15.798	16.301	796.363	216000.000	182.341	0.246	1188.750	7.300
1	11.660	8.132	16.916	16.164	796.363	216000.000	178.924	0.261	1183.890	7.400
1	11.675	8.138	17.535	16.347	796.363	216000.000	178.966	0.263	1186.380	7.400
1	11.670	8.154	15.979	15.652	796.363	216000.000	181.339	0.262	1204.570	7.400
1	11.669	8.156	13.252	15.174	796.363	216000.000	182.796	0.252	1207.670	7.400
1	11.684	8.141	12.273	15.281	796.363	216000.000	179.596	0.251	1193.950	7.500
1	11.709	8.118	12.270	14.747	796.363	216000.000	177.619	0.246	1182.230	7.500
1	11.710	8.122	12.747	14.850	796.363	216000.000	181.688	0.233	1185.350	7.300
1	11.746	8.115	13.055	15.103	796.363	216000.000	181.463	0.230	1183.210	7.300
1	11.779	8.097	13.034	14.876	796.363	216000.000	179.199	0.232	1182.150	7.400
1	11.776	8.109	12.879	15.003	796.363	216000.000	177.091	0.247	1192.360	7.600
1	11.801	8.137	13.099	15.986	796.363	216000.000	180.414	0.246	1211.050	7.600
1	11.806	8.163	13.709	16.816	796.363	216000.000	185.794	0.242	1233.110	7.500
1	11.807	8.170	14.432	16.761	796.363	216000.000	184.420	0.253	1240.320	7.600
1	11.788	8.167	15.593	16.773	796.363	216000.000	174.464	0.298	1237.270	7.900
1	11.768	8.163	16.683	17.088	796.363	216000.000	183.978	0.258	1228.840	7.500
1	11.759	8.169	17.264	16.751	796.363	216000.000	181.667	0.274	1237.980	7.600
1	11.755	8.169	16.625	16.192	796.363	216000.000	183.572	0.263	1234.920	7.500
1	11.767	8.178	15.990	15.723	796.363	216000.000	179.127	0.284	1244.590	7.700
1	11.745	8.194	14.652	15.385	796.363	216000.000	174.142	0.322	1262.330	7.900
1	11.759	8.215	13.359	15.496	796.363	216000.000	181.441	0.296	1282.120	7.800
1	11.770	8.225	12.139	16.108	796.363	216000.000	177.323	0.321	1292.750	8.000
1	11.777	8.224	11.506	16.482	796.363	216000.000	179.118	0.310	1293.420	8.000
1	11.792	8.212	12.542	17.303	796.363	216000.000	178.882	0.303	1281.500	8.000
1	11.804	8.183	13.268	17.305	796.363	216000.000	179.649	0.281	1255.630	7.900
1	11.794	8.169	13.277	16.037	796.363	216000.000	182.025	0.262	1243.260	7.700
1	11.796	8.155	13.674	15.457	796.363	216000.000	177.221	0.274	1232.850	7.800
1	11.787	8.144	13.509	15.783	796.363	216000.000	174.686	0.282	1229.730	7.900
1	11.788	8.152	13.421	15.290	796.363	216000.000	180.037	0.263	1234.540	7.700
1	11.797	8.165	13.489	15.263	796.363	216000.000	180.535	0.265	1240.150	7.700
1	11.806	8.174	13.844	16.132	796.363	216000.000	179.530	0.275	1247.200	7.800
1	11.809	8.170	15.021	16.299	796.363	216000.000	178.300	0.279	1242.040	7.800
1	11.823	8.161	15.717	16.291	796.363	216000.000	177.542	0.278	1237.440	7.800
1	11.837	8.153	15.379	16.391	796.363	216000.000	180.584	0.262	1235.560	7.700
1	11.829	8.153	15.046	16.617	796.363	216000.000	179.005	0.270	1239.180	7.800
1	11.847	8.170	13.966	15.635	796.363	216000.000	173.610	0.295	1248.430	8.000
1	11.857	8.187	13.207	15.350	796.363	216000.000	175.858	0.295	1267.160	8.000
1	11.853	8.220	8.500	14.920	796.363	216000.000	176.234	0.310	1305.830	8.200
1	11.849	8.244	7.301	15.356	796.363	216000.000	183.649	0.291	1327.970	8.100
1	11.835	8.243	10.739	16.903	796.363	216000.000	171.797	0.373	1322.860	8.300
1	11.827	8.246	13.227	17.475	796.363	216000.000	174.039	0.368	1324.050	8.200
1	11.823	8.244	15.297	17.367	796.363	216000.000	184.564	0.309	1323.790	7.900
1	11.837	8.237	15.579	17.051	796.363	216000.000	179.970	0.327	1319.730	8.000
1	11.819	8.241	13.340	15.926	796.363	216000.000	176.597	0.351	1329.770	8.100
1	11.828	8.254	10.490	15.080	796.363	216000.000	175.405	0.366	1347.120	8.200
1	11.918	8.287	6.876	15.796	796.363	216000.000	188.247	0.301	1387.880	8.200
1	11.929	8.317	2.432	16.673	796.363	216000.000	0.000	0.000	1426.750	8.800
1	11.977	8.337	0.481	16.422	796.363	216000.000	0.000	0.000	1452.430	8.700
1	11.987	8.327	0.440	16.458	796.363	216000.000	0.000	0.000	1450.740	8.800
1	12.004	8.281	4.615	16.865	796.363	216000.000	197.417	0.261	1411.400	8.200
1	12.003	8.260	11.918	15.839	796.363	216000.000	193.347	0.274	1386.550	8.000
1	12.024	8.223	10.109	13.236	796.363	216000.000	182.437	0.289	1356.490	8.200
1	12.001	8.230	2.489	8.747	796.363	216000.000	177.698	0.301	1376.810	8.400
1	11.955	8.214	0.433	6.108	796.363	216000.000	175.897	0.291	1352.760	8.300
1	11.920	8.235	0.082	7.167	796.363	216000.000	174.298	0.323	1374.760	8.400
1	11.906	8.259	0.014	8.943	796.363	216000.000	0.000	0.000	1389.790	8.600
1	11.889	8.261	0.003	11.261	796.363	216000.000	185.813	0.293	1395.560	8.300
1	11.894	8.208	0.000	15.672	796.363	216000.000	185.806	0.263	1342.140	8.400
1	11.898	8.178	0.000	17.620	796.363	216000.000	189.158	0.247	1339.290	8.400
1	11.881	8.207	0.000	14.530	796.363	216000.000	178.187	0.306	1361.900	8.600
1	11.895	7.751	0.000	4.600	796.363	216000.000	170.645	0.183	1187.450	7.600
