case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	VOID	1.715720e+02	2.898820e-01	4.281268e+04	1.715720e+02	1.715720e+02	1.715720e+02	1.715720e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.746676e+02	2.848543e-01	4.250092e+04	1.746676e+02	1.746676e+02	1.746676e+02	1.746676e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.770224e+02	2.743829e-01	4.193653e+04	1.770224e+02	1.770224e+02	1.770224e+02	1.770224e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.768024e+02	2.795431e-01	4.221887e+04	1.768024e+02	1.768024e+02	1.768024e+02	1.768024e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.785995e+02	2.745951e-01	4.296735e+04	1.785995e+02	1.785995e+02	1.785995e+02	1.785995e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.743615e+02	2.984195e-01	4.353191e+04	1.743615e+02	1.743615e+02	1.743615e+02	1.743615e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.750717e+02	2.881447e-01	4.381490e+04	1.750717e+02	1.750717e+02	1.750717e+02	1.750717e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.763134e+02	2.769977e-01	4.363536e+04	1.763134e+02	1.763134e+02	1.763134e+02	1.763134e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.740394e+02	2.825738e-01	4.307740e+04	1.740394e+02	1.740394e+02	1.740394e+02	1.740394e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.804531e+02	2.569365e-01	4.245704e+04	1.804531e+02	1.804531e+02	1.804531e+02	1.804531e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.783450e+02	2.648276e-01	4.233773e+04	1.783450e+02	1.783450e+02	1.783450e+02	1.783450e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.807987e+02	2.497580e-01	4.167851e+04	1.807987e+02	1.807987e+02	1.807987e+02	1.807987e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.810097e+02	2.466366e-01	4.186593e+04	1.810097e+02	1.810097e+02	1.810097e+02	1.810097e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.798594e+02	2.553372e-01	4.226456e+04	1.798594e+02	1.798594e+02	1.798594e+02	1.798594e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.783763e+02	2.594291e-01	4.225407e+04	1.783763e+02	1.783763e+02	1.783763e+02	1.783763e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.817763e+02	2.526680e-01	4.245340e+04	1.817763e+02	1.817763e+02	1.817763e+02	1.817763e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.811981e+02	2.566006e-01	4.306767e+04	1.811981e+02	1.811981e+02	1.811981e+02	1.811981e+02	0.000000e+00	0.000000e+00	YES
1	VOID	1.815587e+02	2.665620e-01	4.360698e+04	1.815587e+02	1.815587e+02	1.815587e+02	1.815587e+02	0.000000e+00	0.000000e+00	YES
